name,my_project,published,description,homepage,html_url,logo_url,topics,date,evernote_url,see_also,inspiration_reference
1-million-trees,Y,N,1 Million Trees in the Brecon Beacons,,https://github.com/tomwhite/1-million-trees,,"visualization,local-community",,https://share.evernote.com/note/ef4f1c35-cc37-4c40-9763-7d0a433c96de,,
23andme-impute,N,N,Run IMPUTE2 on 23 and me,,,,genomics,,https://share.evernote.com/note/6e9ff10e-ebdb-1c5b-65ea-153b11205697,,
8-bit-computer,Y,Y,Ben Eater's 8-bit computer in CircuitJS1,https://github.com/tomwhite/8-bit-computer,https://github.com/tomwhite/8-bit-computer,,retro-computing,2023-02-01,,,Ben Eater
aboutme,Y,N,Old website (replaced by tomwhite.github.com),,,,,,,,
alhambra,Y,Y,A Java API for experimenting with tilings and patterns.,http://tomwhite.github.io/alhambra/,https://github.com/tomwhite/alhambra,,visualization,1998-08-01,,,"Martin Gardner, Penrose Tiles"
apportionment,Y,Y,Calculating apportionments for the House of Representatives using the Huntington-Hill method.,https://tom-e-white.com/2012/12/apportionment.html,https://github.com/tomwhite/apportionment,,maths,2012-07-01,https://share.evernote.com/note/316d225b-ba3e-43a7-8771-28dcbf48820c,,
ardubat,Y,Y,Visualizations of bat activity over the year using an Arduino bat detector,https://observablehq.com/d/682fb4043d9dadb7,https://github.com/tomwhite/ardubat,,"maker,visualization",2025-07-20,https://share.evernote.com/note/005cb26b-8433-4a21-bf7a-bd0015405d1f,,ArduBat project
Arduino_SMC,N,N,Mike's Solar Metric Clock,,,,,,https://share.evernote.com/note/d584b440-ae44-4321-ae65-5fb80a4cc7a2,,
array-api-tests,N,N,,,,,,,,,
array-api-tests-dask,Y,N,,,,,arrays,,,,
array-api-tests-op-art,Y,N,,,,,arrays,,,op-art,
array-tracker,Y,N,An implementation of the Python array API standard that tracks array element dependencies,,,,arrays,,https://share.evernote.com/note/a4a0d576-33ee-4af6-baa4-a3769349b6bf,op-art,
articles,Y,N,Collection of my old technical articles,,https://github.com/tomwhite/articles,,,,,,
atomiclisp,Y,N,"Atomic LISP is my reformulation of Gregory J. Chaitin's version of LISP that he uses in his books ""The Unknowable"" (Springer Verlag, 1999) and ""The Limits of Mathematics"" (Springer Verlag 1998).",,https://github.com/tomwhite/atomiclisp,,,,,,Gregory J. Chaitin
autotune-docker,Y,N,Running OpenAPS autotune in Docker,,,,t1d,,https://share.evernote.com/note/90a263d6-e4cd-4bf4-8507-07124d57160c,,
badge-2024-software,N,N,Tildagon software,,https://github.com/emfcamp/badge-2024-software,,,,,,
barry,Y,N,Early Cubed development (replaced by Cubed),,,,arrays,,,,
barry-original,Y,N,Early Cubed development (replaced by Cubed),,,,arrays,,,,
bat-recordings,Y,N,EMF Camp bat recordings,,,,nature,,https://share.evernote.com/note/85b38020-2d7b-615e-0f3e-da2a26f5a583,,
benford,Y,N,Benford's law experiments,,https://github.com/tomwhite/benford,,maths,,,,"Robert Matthews, The Power of One, New Scientist No2194, 10 July 1999"
berllan-electricity,Y,N,Tracking our electricity generation and usage,https://tom-e-white.com/berllan-electricity/electricity.html,https://github.com/tomwhite/berllan-electricity,,"visualization,home",,https://share.evernote.com/note/04accf37-ff53-ba5a-ec5c-21730c0b8363,,
berllan-network,Y,N,How our house network works,,,,home,,https://share.evernote.com/note/921da865-4699-41b3-9406-4e0cf05b9b34,,
binarypi,Y,N,Calculating the nth binary digit of pi,,https://github.com/tomwhite/binarypi,,maths,,,,"Bailey, Borwein and Plouffe"
birdcage,Y,Y,An Arduino recreation of Shannon's Bird Cage,https://github.com/tomwhite/birdcage,https://github.com/tomwhite/birdcage,,"games,maker",2021-01-01,,,"Gardner, Martin, (1961), More Mathematical Puzzles and Diversions, Penguin Books"
birthday-roots,Y,N,Which year do you need to be born in so that you have a birthday year which is a power of your age?,,https://github.com/tomwhite/birthday-roots,,maths,,,,
blockclock,Y,Y,A real digital clock,http://tomwhite.github.io/blockclock/,https://github.com/tomwhite/blockclock,,visualization,2002-01-01,,,
blockclock-matrix,Y,N,Blockclock as an LED matrix,,,,"visualization,maker",,https://share.evernote.com/note/7105a9dc-459b-4420-fe78-a884cc314071,,
blockclock-sweep,Y,N,Blockclock as a laser pointer,,,,"visualization,maker",,https://share.evernote.com/note/9144742f-766a-4f0f-8006-00c8be116dbc,,
bolus-calc,Y,N,Experiments in calculating insulin bolus amounts for T1D,,,,t1d,,,,
